year_start,year_end,location_abbr,location_desc,datasource,class,question,data_value,data_value_alt,low_confidence_limit,high_confidence_limit,sample_size,age_range,education,income_range,race_ethnicity,geo_location,class_id,topic_id,question_id,data_value_type_id,location_id,stratification_category1,stratification_value
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.6,33.6,29.9,37.6,1153,,Less than high school,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,Less than high school
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,32.3,29.9,34.7,2581,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Male
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,40.1,40.1,36.9,43.3,1878,,,,Non-Hispanic Black,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Black
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.8,29.8,28.0,31.6,5042,,,,Non-Hispanic White,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic White
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,Non-Hispanic Other,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Other
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.8,33.8,31.0,36.8,1925,,Some college or technical sch,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,Some college or technical school
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.0,32.0,30.5,33.5,7304,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Total,Total
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.2,30.2,24.1,37.2,377,,,"$15,000 - $24,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$15,000 - $24,999"
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.2,32.2,23.1,42.9,224,,,"$25,000 - $34,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$25,000 - $34,999"
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,18.3,32.0,397,,,"$35,000 - $49,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$35,000 - $49,999"
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,23.3,32.9,524,,,"$50,000 - $74,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$50,000 - $74,999"
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.9,26.9,23.5,30.7,1109,,,"$75,000 or greater",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$75,000 or greater"
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.8,19.8,13.4,28.4,212,18 - 24,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),18 - 24
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.3,23.3,16.1,32.4,128,,,,Non-Hispanic 2 or more races,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic 2 or more races
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.5,23.5,18.6,29.2,451,25 - 34,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),25 - 34
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.5,29.5,24.5,35.0,562,35 - 44,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),35 - 44
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,29.2,25.2,33.5,735,45 - 54,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),45 - 54
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.4,33.4,29.1,38.0,776,55 - 64,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),55 - 64
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.3,29.3,24.1,35.0,600,65 or older,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),65 or older
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,30.9,25.7,36.6,477,,,,NH American Indian/Alaska Native,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,NH American Indian/Alaska Native
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,Non-Hispanic Asian,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic Asian
