year_start,year_end,location_abbr,location_desc,data_source,question,response,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,stratification_category1,stratification_value,stratification_category2,stratification2,stratification_category3,stratification3,geolocation,location_id,topic_id,question_id,response_id,data_value_type_id,stratification_category_id1,stratification_category_id2,stratification_id2,stratification_category_id3,stratification_id3
2019,2019,AL,Alabama,BRFSS,Quit attempts in the past year among adult current smokers,,%,Crude Prevalence,0.0,0.0,*,No data available,0.0,0.0,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),1,TOB,TOB06,,CRDPREV,RACE,,,,
2019,2019,AK,Alaska,BRFSS,Binge drinking prevalence among adults,,%,Crude Prevalence,11.1,11.1,,,8.5,14.4,Sex,Female,,,,,POINT (-147.72205903599973 64.84507995700051),2,ALC,ALC06,,CRDPREV,SEX,,,,
2019,2019,AK,Alaska,BRFSS,Current asthma among adults,,%,Age-adjusted Prevalence,13.3,13.3,,,10.6,16.5,Sex,Female,,,,,POINT (-147.72205903599973 64.84507995700051),2,AST,AST02,,AGEADJPREV,SEX,,,,
2019,2019,AK,Alaska,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause",,"cases per 100,000",Crude Rate,70.0,70.0,,,60.0,80.0,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),2,COPD,COPD05,,CRDRATE,OVERALL,,,,
2019,2019,AK,Alaska,BRFSS,Adults with any disability,,%,Age-adjusted Prevalence,25.5,25.5,,,21.9,29.4,Sex,Female,,,,,POINT (-147.72205903599973 64.84507995700051),2,DIS,DIS01,,AGEADJPREV,SEX,,,,
2019,2019,AK,Alaska,BRFSS,Frequent physical distress among adults,,%,Crude Prevalence,13.4,13.4,,,10.6,16.7,Age,Age 45-64,,,,,POINT (-147.72205903599973 64.84507995700051),2,HEA,HEA03,,CRDPREV,AGE,,,,
2019,2019,AK,Alaska,BRFSS,Obesity among adults,,%,Crude Prevalence,26.9,26.9,,,22.7,31.6,Age,Age 18-44,,,,,POINT (-147.72205903599973 64.84507995700051),2,NPAW,NPW14,,CRDPREV,AGE,,,,
2019,2019,AZ,Arizona,BRFSS,Binge drinking prevalence among adults,,%,Crude Prevalence,20.9,20.9,,,18.4,23.6,Age,Age 18-44,,,,,POINT (-111.76381127699972 34.865970280000454),4,ALC,ALC06,,CRDPREV,AGE,,,,
2019,2019,AZ,Arizona,BRFSS,Arthritis among adults,,%,Age-adjusted Prevalence,28.4,28.4,,,21.9,36.0,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.76381127699972 34.865970280000454),4,ART,ART01,,AGEADJPREV,RACE,,,,
2019,2019,AZ,Arizona,BRFSS,Received health care provider counseling for physical activity among adults with arthritis,,%,Crude Prevalence,61.9,61.9,,,50.6,71.9,Age,Age 18-44,,,,,POINT (-111.76381127699972 34.865970280000454),4,ART,ART06,,CRDPREV,AGE,,,,
2019,2019,AZ,Arizona,NVSS,"Asthma mortality among all people, underlying cause",,Number,Number,37.0,37.0,,,0.0,0.0,Age,Age >=65,,,,,POINT (-111.76381127699972 34.865970280000454),4,AST,AST01,,NMBR,AGE,,,,
